id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
77105,honda,Honda CR-V,black,12/2022,2022,41490,135,184,Automatic,Hybrid,"5,5 l/100 km",126 g/km,5900.0,Hybrid 2.0 Sport Line *MIT LED SCHEINWERFER!*
36703,bmw,BMW 520,black,08/2017,2017,27890,140,190,Automatic,Diesel,"4,1 l/100 km",108 g/km,123909.0,Sport Line DrivingAss+ HeadUp Glasd LED+Nav+
72397,ford,Ford Ranger,orange,04/2020,2020,41950,156,212,Automatic,Diesel,"7,6 l/100 km",199 g/km,26852.0,2.0 Wildtrak 4x4*Xenon*Navi*ACC*AHZV*DAB+
21822,audi,Audi Q2,blue,05/2023,2023,28888,110,150,Manual,Petrol,"5,9 l/100 km",132 g/km,10.0,35 TFSI 150 LED eHK Kam PDC+ SHZ AppCo 16Z
64573,ford,Ford Kuga,silver,09/2016,2016,15925,110,150,Manual,Petrol,"6,2 l/100 km",143 g/km,72709.0,1.5 EcoBoost Business Edition NAVI Winterpak.
93632,lamborghini,Lamborghini Aventador,yellow,08/2015,2015,419990,515,700,Automatic,Petrol,"17,2 l/100 km",398 g/km,500.0,Roadster LP700-4
12827,audi,Audi A6,blue,07/2017,2017,46900,240,326,Automatic,Diesel,6 l/100 km,159 g/km,77424.0,3.0 TDI q. Competition*100%Voll *Schale *Luft
16842,audi,Audi A4,bronze,05/2019,2019,36550,170,231,Automatic,Diesel,"5,5 l/100 km",145 g/km,57654.0,Avant 45 TDI quattro S line HUD
88360,kia,Kia Picanto,black,04/2015,2015,8450,63,86,Manual,Petrol,"4,5 l/100 km",107 g/km,50700.0,2.2 CRDi AWD Aut. Vision
29026,bmw,BMW 320,grey,12/2011,2011,6150,135,184,Manual,Diesel,"5,3 l/100 km",- (g/km),197000.0,320d xDrive Touring
39487,bmw,BMW 550,black,11/2019,2019,55680,294,400,Automatic,Diesel,"6,4 l/100 km",168 g/km,98163.0,d xDrive Limousine*Aut.*AHK*Laser*DAB*HuD*HarmanKa
98367,mazda,Mazda 3,red,01/2015,2015,10750,88,120,Manual,Petrol,"5,1 l/100 km",119 g/km,185300.0,SKYACTIV-G 120 Center-Line
33624,bmw,BMW 320,black,11/2015,2015,16450,140,190,Manual,Diesel,"4,6 l/100 km",- (g/km),133000.0,320d GT
83915,hyundai,Hyundai i10,silver,05/2023,2023,16290,49,67,Manual,Petrol,"5,5 l/100 km",126 g/km,10.0,1.0 Connect & Go NAVI|PDC|SHZ|LRHZ|KLIMA
74561,ford,Ford Tourneo Custom,silver,12/2022,2022,50190,110,150,Manual,Diesel,"7,8 l/100 km",205 g/km,1500.0,320 L2H1 VA MH Titanium *NAVI*RFK*
43300,cadillac,Cadillac Escalade,white,07/2017,2017,69971,313,426,Automatic,Petrol,"12,6 l/100 km",287 g/km,64388.0,6.2 ESV PLATINUM ULTRA PAKET TOP 1.HAND
83846,hyundai,Hyundai i30,silver,02/2023,2023,21450,81,110,Manual,Petrol,6 l/100 km,136 g/km,18.0,III 1.5 DPi ALU DAB KAMERA PDC LHZ SHZ TEMPOMAT
51388,dodge,Dodge RAM,black,07/2017,2017,34890,286,389,Automatic,CNG,,- (g/km),90762.0,2500 ST CREWCAB 4 X 4  CNG-Gas
94556,land-rover,Land Rover Discovery,black,07/2017,2017,36980,190,258,Automatic,Diesel,"7,2 l/100 km",189 g/km,85869.0,5 HSE LUXURY TD6*LED*Kamera*Navi*AHK*
57721,ford,Ford Focus,silver,09/2002,2002,1600,74,101,Manual,Petrol,"6,8 l/100 km",163 g/km,191000.0,1.6 Turnier Futura
51718,dodge,Dodge RAM,white,01/2020,2020,48900,295,401,Automatic,LPG,,0 g/km,30200.0,"1500 5,7L Gen5 LARAMIE LPG QuadCab Leder"
13041,audi,Audi A4 allroad,blue,08/2017,2017,21499,110,150,Manual,Diesel,"5,1 l/100 km",133 g/km,132000.0,quattro AHK/Leder-beige/PDC/Panorama
95609,land-rover,Land Rover Discovery,black,05/2019,2019,46899,225,306,Automatic,Diesel,"7,6 l/100 km",201 g/km,87393.0,SD6 HSE *Parkpaket *Schiebedach
2788,audi,Audi A4,silver,01/2005,2005,4500,85,116,Manual,Diesel,"5,6 l/100 km",151 g/km,225000.0,1.9 TDI
68240,ford,Ford Mondeo,white,01/2018,2018,19900,135,184,Automatic,Hybrid,"4,2 l/100 km",99 g/km,81000.0,1.0 EcoBoost S&S ST-LINE
88237,kia,Kia Soul,yellow,05/2015,2015,11555,100,136,Automatic,Diesel,"5,9 l/100 km",- (g/km),105000.0,Soul 1.6 CRDi Spirit GARANTIE  NAV Cam Scheck WR
2357,audi,Audi A8,blue,08/2004,2004,8300,171,232,Automatic,Diesel,"8,4 l/100 km",- (g/km),280000.0,3.0 TDI quattro
40623,bmw,BMW 530,black,07/2020,2020,38000,185,252,Automatic,Petrol,"6,3 l/100 km",144 g/km,52600.0,i xDrive M Sport GSD h&k DAB DA Pro PA+ LED
60636,ford,Ford C-Max,black,04/2012,2012,6500,103,140,Manual,Diesel,"5,1 l/100 km",135 g/km,156854.0,Titanium (CB7)
6370,audi,Audi A5,grey,09/2012,2012,7000,125,170,Manual,Petrol,"5,7 l/100 km",134 g/km,98400.0,1.8 TFSI
63558,ford,Ford Focus,blue,03/2016,2016,8500,88,120,Automatic,Diesel,"3,8 l/100 km",- (g/km),169000.0,Turnier 1.5 TDCi DPF Start-Stopp-System Aut. Busin
41550,bmw,BMW 120,grey,05/2021,2021,30840,141,192,Automatic,Petrol,6 l/100 km,146 g/km,32500.0,i Sport Line LiveCockpit LED HuD DAB Panorama
48976,dacia,Dacia,white,10/2018,2018,12750,55,75,Manual,Diesel,,-/-,91468.0,Express dCi 75 Essential Klima ZV S/S
59009,ford,Ford Focus,black,11/2008,2008,4990,107,145,Manual,Petrol,"7,1 l/100 km",168 g/km,158112.0,2.0 TDCi Titanium X
39344,bmw,BMW X3,black,05/2019,2019,29950,140,190,Automatic,Diesel,"5,3 l/100 km",139 g/km,112850.0,xDrive20d Aut|KAMERA|ACC|NAVI-PROF|HIFI|SITHZ
79432,hyundai,Hyundai iX20,silver,11/2017,2017,11900,66,90,Manual,Petrol,"5,6 l/100 km",133 g/km,61310.0,Classic
94764,land-rover,Land Rover Range Rover Velar,grey,12/2018,2018,46890,132,179,Automatic,Diesel,"5,8 l/100 km",152 g/km,64345.0,2.0d
71292,ford,Ford Transit Custom,grey,10/2020,2020,32900,125,170,Automatic,Diesel,"6,4 l/100 km",165 g/km,122000.0,340 L1H1 Autm. Trend AHK/Xenon
12276,audi,Audi TT,black,10/2016,2016,29000,169,230,Manual,Petrol,6 l/100 km,140 g/km,31000.0,Roadster 2.0 TFSI
4421,audi,Audi A3,black,09/2009,2009,6900,77,105,Manual,Diesel,"4,2 l/100 km",112 g/km,199000.0,1.6 TDI S-LINE Sportpaket/SD/Xenon/
54403,fiat,Fiat 124 Spider,black,09/2018,2018,24000,103,140,Manual,Petrol,"6,4 l/100 km",- (g/km),8600.0,1.4 MultiAir Turbo
86316,jeep,Jeep Grand Cherokee,black,02/2018,2018,33670,184,250,Automatic,Diesel,7 l/100 km,184 g/km,89480.0,"3.0 CRD V6 ""Summit"" Navi*Leder*Luftfahrwerk"
19496,audi,Audi A4,silver,01/2020,2020,26145,120,163,Automatic,Diesel,"3,8 l/100 km",100 g/km,52626.0,Avant 35 TDI S tronic Navi SHZ PDC DynLicht
44931,citroen,Citroen Grand C4 SpaceTourer,blue,03/2018,2018,18700,88,120,Manual,Diesel,4 l/100 km,105 g/km,74500.0,"BlueHDi 120 7-Sitzer DAB Drive Assist, Komf Paket"
87779,kia,Kia Venga,grey,03/2011,2011,7990,66,90,Manual,Petrol,6 l/100 km,- (g/km),62000.0,Venga 1.4 CVVT Spirit
15807,audi,Audi Q3,black,06/2018,2018,24970,132,179,Automatic,Petrol,"6,5 l/100 km",150 g/km,80688.0,2.0 TFSI Quattro Navi AHK Rfk GSD Xenon+ Navi AHK
40569,bmw,BMW X3 M,black,07/2020,2020,49990,265,360,Automatic,Petrol,,179 g/km,19825.0,i PANO NAVI LED HARMAN&KARDON
2125,audi,Audi TT,blue,08/2003,2003,4990,110,150,Manual,Petrol,"8,2 l/100 km",197 g/km,248000.0,Coupe 1.8 LEDER KLIMA XENON S-LINE TÜV-NEU!
55370,fiat,Fiat 500X,red,02/2020,2020,22460,110,150,Automatic,Petrol,"6,1 l/100 km",140 g/km,30935.0,1.3GSE Sport SKYDOME-ACC-EPH-KAM-AMBIENTE
92930,kia,Kia Rio,black,04/2023,2023,24990,88,120,Automatic,Petrol,"4,7 l/100 km",108 g/km,50.0,GT Line Navi Automatik /Alu / PDC / Klima /
9977,audi,Audi A3,grey,07/2015,2015,16430,92,125,Manual,Petrol,"5,1 l/100 km",124 g/km,53644.0,1.4 TFSI Ambition *BI-XENON*NAVI*PDC*
95098,land-rover,Land Rover Range Rover Sport,blue,05/2019,2019,62000,225,306,Automatic,Diesel,"7,5 l/100 km",198 g/km,60614.0,HSE Dynamic*Panorama*AHK*LED*
32884,bmw,BMW 218,silver,11/2014,2014,18999,100,136,Automatic,Petrol,"5,1 l/100 km",121 g/km,45000.0,"218i Active Tourer Leder, Aut., Panoramadach"
65903,ford,Ford Focus,black,09/2017,2017,14900,88,120,Automatic,Diesel,"3,8 l/100 km",99 g/km,49300.0,"1,5TDCi 88kW PowerShift Business Turnier"
7646,audi,Audi A3,red,06/2013,2013,16500,92,125,Automatic,Petrol,"5,5 l/100 km",127 g/km,132000.0,1.4 TFSI Sportback S tronic Ambiente
30784,bmw,BMW 116,white,10/2012,2012,10900,100,136,Manual,Petrol,"5,5 l/100 km",130 g/km,125000.0,Baureihe /NAVI/XENON/
39436,bmw,BMW X3 M,black,09/2019,2019,63900,375,510,Automatic,Petrol,"10,5 l/100 km",239 g/km,80000.0,"Competition,x Drive, PANORAMA,360°Kam.,AHK,"
72296,ford,Ford Kuga,white,09/2020,2020,26480,165,224,Automatic,Hybrid,"1,2 l/100 km",26 g/km,27975.0,"Hybrid Titanium LED ACC 4xSihz 18"" Navi"
1022,alfa-romeo,Alfa Romeo Tonale,blue,06/2022,2022,41990,96,131,Automatic,Hybrid,"6,1 l/100 km",139 g/km,12500.0,SPECIALE 1.5 T 130PS 48V-Hybrid
43206,bmw,BMW X4,white,02/2023,2023,61900,140,190,Automatic,Diesel,"5,7 l/100 km",- (g/km),9940.0,xDrive20d M-SPORT/PANORAMA/LIVE-COCKPIT/LED
57182,fiat,Fiat Panda,red,01/2023,2023,16690,52,71,Manual,Hybrid,"4,9 l/100 km",111 g/km,99.0,CROSS RED HYBRID 1.0 GSE CARPLAY KLIMAAUTOMATIK
35245,bmw,BMW 220,black,08/2016,2016,21499,140,190,Automatic,Diesel,4 l/100 km,104 g/km,83237.0,d Coupe Aut. M-SPORTPAKET *NAVI*XENON*PDC*
56098,fiat,Fiat 500X,blue,09/2022,2022,23648,110,150,Automatic,Petrol,"6,3 l/100 km",128 g/km,10.0,CROSS 1.3 GSE 150 DCT City SHZ PDC Temp 16Z 110...
22078,audi,Audi A1,yellow,06/2023,2023,25750,81,110,Manual,Petrol,"5,4 l/100 km",123 g/km,10.0,Sportback 30TFSI+Sofort Verfügbar+
28809,bmw,BMW X6,white,04/2010,2010,23990,210,286,Automatic,Diesel,"8,3 l/100 km",220 g/km,140688.0,"xDrive35d, Navi Pro, Glasdach,Top View Kamera"
91942,kia,Kia Niro,grey,12/2022,2022,38900,77,105,Automatic,Hybrid,"1,3 l/100 km",30 g/km,1314.0,Plug-in Hybrid Spirit 1.6 Navi Leder LED SHZ PDC A
24187,bmw,BMW 330,grey,04/2002,2002,5500,150,204,Manual,Diesel,"6,7 l/100 km",- (g/km),367000.0,330d
67689,ford,Ford Focus,black,12/2018,2018,15900,88,120,Automatic,Diesel,"4,4 l/100 km",116 g/km,84000.0,"1,5 TDCI Automatik ""Cool&Connect"""
